"","Name of the substance","CAS number","Persistent organic pollutant","ED according to DEDuCT","ED in list I of ED lists","ED in list III of ED lists","URL to the DEDuCT page"
"45","Perfluorohexanesulfonic acid","355-46-4","Yes","Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpVwbmxs"
"46","Perfluorooctanesulfonic acid (PFOS)","1763-23-1","Yes","Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpZta3Fr"
"47","Permethrin, cis-","61949-76-6",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpNpa29r"
"48","Potassium perchlorate","7778-74-7",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpRqbXJoYA"
"49","Potassium perfluorooctanesulfonate","2795-39-3","Yes","Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpFsbW9xYmiF"
"50","Prochloraz","67747-09-5",NA,"Yes",NA,"Yes","https://cb.imsc.res.in/deduct/chemical/eJaFhpZsbW9t"
"51","Propyl thiouracil","51-52-5",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpVubmtxaA"
"52","Zineb","9006-42-2",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpRrb21saGk"
"53","o,p'-DDT","789-02-6","Yes","Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpBsZ3Fx"
"54","theta-Cypermethrin","71697-59-1",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhphqbXJp"
"55","γ-HCH or γ-BHC","58-89-9","Yes","Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eI6UhpRxZHFxXW4"
